"Plot Title: 110 Meter"
"#","Date Time, GMT-07:00","Temp, C","Bad Battery","Stopped","End Of File"
349,05/06/10 06:25:00 AM,27.063,,,
350,05/06/10 06:25:25 AM,10.565,,,
351,05/06/10 06:25:50 AM,57.259,,,
352,05/06/10 06:26:15 AM,8.568,,,
353,05/06/10 06:26:40 AM,41.239,,,
354,05/06/10 06:27:05 AM,3.248,,,
355,05/06/10 06:27:30 AM,8.693,,,
356,05/06/10 06:27:55 AM,18.580,,,
357,05/06/10 06:28:20 AM,27.063,,,
358,05/06/10 06:28:45 AM,10.565,,,
359,05/06/10 06:29:10 AM,86.463,,,
360,05/06/10 06:29:35 AM,8.568,,,
361,05/06/10 06:30:00 AM,41.268,,,
362,05/06/10 06:30:25 AM,3.248,,,
363,05/06/10 06:30:50 AM,8.693,,,
364,05/06/10 06:31:15 AM,18.580,,,
365,05/06/10 06:31:40 AM,27.063,,,
366,05/06/10 06:32:05 AM,10.590,,,
367,05/06/10 06:32:30 AM,-53.451,,,
368,05/06/10 06:32:55 AM,8.568,,,
369,05/06/10 06:33:20 AM,41.298,,,
370,05/06/10 06:33:45 AM,3.248,,,
371,05/06/10 06:34:10 AM,8.693,,,
372,05/06/10 06:34:35 AM,18.580,,,
373,05/06/10 06:35:00 AM,27.063,,,
374,05/06/10 06:35:25 AM,10.590,,,
375,05/06/10 06:35:50 AM,-27.031,,,
376,05/06/10 06:36:15 AM,8.568,,,
377,05/06/10 06:36:40 AM,41.327,,,
378,05/06/10 06:37:05 AM,3.248,,,
379,05/06/10 06:37:30 AM,8.693,,,
380,05/06/10 06:37:55 AM,19.722,,,
381,05/06/10 06:38:20 AM,27.063,,,
382,05/06/10 06:38:45 AM,10.590,,,
383,05/06/10 06:39:10 AM,-14.707,,,
384,05/06/10 06:39:35 AM,8.568,,,
385,05/06/10 06:40:00 AM,41.356,,,
386,05/06/10 06:40:25 AM,3.248,,,
387,05/06/10 06:40:50 AM,8.693,,,
388,05/06/10 06:41:15 AM,20.103,,,
389,05/06/10 06:41:40 AM,27.063,,,
390,05/06/10 06:42:05 AM,4.141,,,
391,05/06/10 06:42:30 AM,-5.791,,,
392,05/06/10 06:42:55 AM,8.543,,,
393,05/06/10 06:43:20 AM,41.385,,,
394,05/06/10 06:43:45 AM,3.248,,,
395,05/06/10 06:44:10 AM,8.295,,,
396,05/06/10 06:44:35 AM,20.484,,,
397,05/06/10 06:45:00 AM,27.063,,,
398,05/06/10 06:45:25 AM,4.141,,,
